name,company_founded,industry,company_type,location,wealth_worth_in_billions,wealth_how_industry,type_of_investor,number_of_deals,portfolio_size,website,most_recent_deal
He Xiangjian,1968,appliances,new,East Asia,7.1,Consumer,angel,0,0,,
Heidi Horten,1936,retail,new,Europe,3.2,"Retail, Restaurant",angel,0,0,,
Heinz Hermann Thiele,1905,brake systems,new,Europe,7.2,Consumer,angel,0,0,,
Heinz-Georg Baus,1960,home improvement retail,new,Europe,3.9,"Retail, Restaurant",angel,0,0,,
Heinz-Horst Deichmann,1913,shoes,new,Europe,4.9,Consumer,angel,0,0,,
Helen Johnson-Leipold,1886,cleaning supplies,new,North America,3,Consumer,angel,0,0,,
Helena Revoredo,1976,security,new,Europe,2.1,Money Management,angel,0,0,,
Helmut Sohmen,1955,shipping,new,Europe,2.6,Other,angel,0,0,,
Heloise Waislitz,1948,paper,new,North America,2,Consumer,angel,0,0,,
Henadiy Boholyubov,1992,Banking,new,Europe,2.3,Money Management,angel,0,0,,
Henri Beaufour,1929,pharmaceuticals,new,Europe,1,Technology-Medical,angel,0,0,,
Henry Engelhardt,1993,insurance,new,North America,1.1,Money Management,angel,0,0,,
Henry Fong Yun Wah,1948,real estate,new,East Asia,2.4,Real Estate,angel,0,0,,
Henry Hillman,1942,coal,new,North America,2.5,Diversified financial,angel,0,0,,
Henry Kravis,1976,leveraged buyouts,new,North America,5,Private equity/leveraged buyout,angel,0,0,,
"Henry Nicholas, III.",1991,semiconductors,new,North America,1.3,Technology-Computer,angel,0,0,,
Henry Samueli,1991,semiconductors,new,North America,2,Technology-Computer,angel,0,0,,
Henry Swieca,1992,hedge funds,new,North America,1.4,Hedge funds,angel,0,0,,
Henry Sy,1960,retail,new,East Asia,11.4,Diversified financial,angel,0,0,,
"Herbert Allen, Jr.",1922,investment banking,new,North America,2.6,Money Management,angel,0,0,,
"Herbert Kohler, Jr.",1873,manufacturing,new,North America,6.3,Non-consumer industrial,angel,0,0,,
Herbert Louis,1886,cleaning supplies,new,North America,2.9,Consumer,angel,0,0,,
Herbert Simon,1960,real estate,new,North America,2.1,Real Estate,angel,0,0,,
Hinduja Brothers,1914,"media, exports",new,Europe,10,Diversified financial,angel,0,0,,
Hiroshi Mikitani,1997,e-commerce,new,East Asia,9.3,"Retail, Restaurant",angel,0,0,,
Hoang Kieu,1980,pharmaceuticals,new,North America,1.7,Technology-Medical,angel,0,0,,
Hong Ra-Hee,1938,electronics,new,East Asia,1.4,Technology-Computer,angel,0,0,,
Horst Brandstaetter,1876,toys,new,Europe,1.5,Consumer,angel,0,0,,
Horst Julius Pudwill,1985,manufacturing,new,Europe,1,Non-consumer industrial,angel,0,0,,
Horst Paulmann,1976,supermarkets,new,Latin America,4.7,"Retail, Restaurant",angel,0,0,,
Howard Marks,1995,asset management,new,North America,2,Private equity/leveraged buyout,angel,0,0,,
Howard Schultz,1971,coffee,new,North America,2.1,Consumer,angel,0,0,,
Hu Kaijun,2005,pharmaceuticals,new,East Asia,1.1,Technology-Medical,angel,0,0,,
Huang Bingwen,1983,printing,new,North America,1.7,Media,angel,0,0,,
Huang Li,1999,electronics,new,East Asia,1.7,Technology-Computer,angel,0,0,,
Huang Rulun,1991,real estate,new,East Asia,2.8,Real Estate,angel,0,0,,
Huang Shaowu,1998,retail,new,East Asia,1.6,"Retail, Restaurant",angel,0,0,,
Huang Shih Tsai,1990,real estate,new,East Asia,1.5,Real Estate,angel,0,0,,
Huang Wei,1993,real estate,new,East Asia,1.7,Real Estate,angel,0,0,,
Huang Wen Tsai,1996,real estate,new,East Asia,1.2,Real Estate,angel,0,0,,
Huang Yi,1998,automobile dealers,new,East Asia,1.3,"Retail, Restaurant",angel,0,0,,
Huang Zhenda,1993,construction,new,East Asia,1.1,Constrution,angel,0,0,,
Hubert Burda,1898,media,new,Europe,2.5,Media,angel,0,0,,
Hubert d'Ornano,1976,cosmetics,new,Europe,1.3,Consumer,angel,0,0,,
Hubert Palfinger,1932,cranes,new,Europe,1.1,Non-consumer industrial,angel,0,0,,
Hui Ka Yan,1997,real estate,new,East Asia,5.7,Real Estate,angel,0,0,,
Hui Lin Chit,1985,diapers,new,East Asia,2.6,Consumer,angel,0,0,,
Hui Wing Mau,1988,real estate,new,East Asia,5.7,Real Estate,angel,0,0,,
Huo Qinghua,1996,coal,new,East Asia,1,Mining and metals,angel,0,0,,
Husnu Ozyegin,1987,finance,new,Middle East/North Africa,3,Money Management,angel,0,0,,
Ian & Richard Livingstone,1987,real estate,new,Europe,3.6,Real Estate,angel,0,0,,
Ian Wood,1912,oil,new,Europe,1.9,Energy,angel,0,0,,
Idan Ofer,1950,shipping,new,Middle East/North Africa,5.7,Energy,angel,0,0,,
Igor Altushkin,1997,metals,new,Europe,1.7,Mining and metals,angel,0,0,,
Igor Kesaev,1991,cigarettes,new,Europe,3.7,"Retail, Restaurant",angel,0,0,,
Igor Makarov,1992,gas,new,Europe,2.1,Energy,angel,0,0,,
Igor Olenicoff,1973,real estate,new,North America,2.9,Real Estate,angel,0,0,,
Ihor Kolomoyskyy,1992,Banking,new,Europe,2.1,Money Management,angel,0,0,,
Ilkka Herlin,1924,elevators,aquired,Europe,1.1,Non-consumer industrial,angel,0,0,,
Ilona Herlin,1924,elevators,aquired,Europe,1.1,Non-consumer industrial,angel,0,0,,
Imogene Powers Johnson,1886,cleaning supplies,new,North America,3,Consumer,angel,0,0,,
Ina Chan,1962,gaming,new,East Asia,1,Real Estate,angel,0,0,,
Indu Jain,1838,media,new,South Asia,2.3,Media,angel,0,0,,
Ingeburg Herz,1949,coffee,new,Europe,2.4,Consumer,angel,0,0,,
Ingvar Kamprad,1943,furniture,new,Europe,4.1,"Retail, Restaurant",angel,0,0,,
Ioan Niculae,1995,aigriculture,new,Europe,1.2,Consumer,angel,0,0,,
Ira Rennert,1975,investment,new,North America,6,Diversified financial,angel,0,0,,
Iris Fontbona,1888,mining,aquired,Latin America,15.5,Mining and metals,angel,0,0,,
Irwin Jacobs,1985,software,new,North America,1.8,Technology-Computer,angel,0,0,,
Isaac Perlmutter,1998,media,aquired,North America,3.1,Media,angel,0,0,,
Isabel dos Santos,1997,telecom/investments,new,Sub-Saharan Africa,3.7,Diversified financial,angel,0,0,,
Isak Andic,1973,fashion,new,Europe,5.7,Consumer,angel,0,0,,
Isidoro Alvarez,1940,retail,new,Europe,1.5,"Retail, Restaurant",angel,0,0,,
Iskander Makhmudov,1999,mining,new,Europe,6.1,Mining and metals,angel,0,0,,
Israel Englander,1989,hedge funds,new,North America,3.3,Hedge funds,angel,0,0,,
Issad Rebrab,1971,"manufacturing (agriculture, steel, electronics)",new,Middle East/North Africa,3.2,Consumer,angel,0,0,,
Ivan Glasenberg,1974,mining,new,North America,6.3,Mining and metals,angel,0,0,,
J. Christopher Reyes,1976,beer and food distribution,aquired,North America,3.6,"Retail, Restaurant",angel,0,0,,
Jack Dangermond,1969,software,new,North America,2.5,Technology-Computer,angel,0,0,,
Jack Dorsey,2006,internet companies,new,North America,2.2,Technology-Computer,angel,0,0,,
Jack Ma,1999,internet,new,East Asia,10,Technology-Computer,angel,0,0,,
Jack Taylor,1957,rental cars,new,North America,12.8,"Retail, Restaurant",angel,0,0,,
Jacky Xu,1999,apparel,new,Latin America,1.2,Consumer,angel,0,0,,
Jacob Stolt-Nielsen,1959,shipping,new,Europe,1.2,Other,angel,0,0,,
Jacqueline Desmarais,1925,utilities/financial services,aquired,North America,5.1,Money Management,angel,0,0,,
Jacqueline Mars,1911,candy,new,North America,20,Consumer,angel,0,0,,
Jacques Merceron-Vicat,1853,cement,new,Europe,1.2,Constrution,angel,0,0,,
Jacques Saade,1978,shipping,new,Europe,1.3,Other,angel,0,0,,
Jacques Servier,1954,pharmaceuticals,new,Europe,7.6,Technology-Medical,angel,0,0,,
Jaime Botin,1857,banking,new,Europe,1.8,Money Management,angel,0,0,,
Jaime Gilinski Bacal,1991,"banking, real estate",aquired,Latin America,2.9,Money Management,angel,0,0,,
"James Cargill, II.",1865,food processing/commodities,new,North America,3.2,Money Management,angel,0,0,,
James Clark,1994,software,new,North America,1.4,Technology-Computer,angel,0,0,,
James Coulter,1992,private equity,new,North America,2.1,Private equity/leveraged buyout,angel,0,0,,
James Dinan,1991,hedge funds,new,North America,2,Hedge funds,angel,0,0,,
James Dyson,1993,vacuum cleaners,new,Europe,4.5,Consumer,angel,0,0,,
James France,1947,sports,new,North America,2.3,Other,angel,0,0,,
James Goodnight,1976,software,new,North America,7.5,Technology-Computer,angel,0,0,,
James Irsay,1953,sports team,aquired,North America,1.6,Other,angel,0,0,,
James Irving,1882,timber,new,North America,6,Diversified financial,angel,0,0,,
James Jannard,1975,apparel and eyewear,new,North America,3.1,Consumer,angel,0,0,,
James Leininger,1976,medical devices,new,North America,1.3,Technology-Medical,angel,0,0,,
James Leprino,1950,cheese,new,North America,3,Consumer,angel,0,0,,
James Packer,1936,media,aquired,North America,6.5,Real Estate,angel,0,0,,
James Ratcliffe,1998,chemicals,new,Europe,1.2,Non-consumer industrial,angel,0,0,,
James Simons,1982,hedge funds,new,North America,12.5,Hedge funds,angel,0,0,,
Jamshyd Godrej,1897,security,new,South Asia,3.5,Consumer,angel,0,0,,
Jan Koum,2009,mobile app,new,North America,6.8,Technology-Computer,angel,0,0,,
Jan Kulczyk,1988,"telecom, oil, beer",privatization,Europe,3.6,Media,angel,0,0,,
Jane Lauder,1946,makeup,new,North America,1.2,Consumer,angel,0,0,,
Jason Chang,1984,electronics,new,East Asia,2.6,Technology-Computer,angel,0,0,,
Jassim Al-Kharafi,1956,diversified investments,new,Middle East/North Africa,1.3,Diversified financial,angel,0,0,,
Jay Robert (J.B.) Pritzker,1957,hotels,aquired,North America,3.1,Real Estate,angel,0,0,,
Jay Y. Lee,1938,electronics,new,East Asia,4.5,Technology-Computer,angel,0,0,,
Jayme Garfinkel,1945,insurance,new,Latin America,1.8,Money Management,angel,0,0,,
Jean (Gigi) Pritzker,1957,hotels,aquired,North America,2.3,Real Estate,angel,0,0,,
Jean Burelle,1957,plastic,new,Europe,1.1,Consumer,angel,0,0,,
Jean Claude Gandur,1994,oil,new,Europe,2.3,Energy,angel,0,0,,
Jean Coutu,1969,retail,new,North America,2.2,"Retail, Restaurant",angel,0,0,,
Jean Pierre Cayard,1936,wine and spirits,new,Europe,3.3,Consumer,angel,0,0,,
Jean-Claude Decaux,1964,advertising,new,Europe,7.7,Media,angel,0,0,,
Jeanine Dick,1968,pharmaceuticals,new,Europe,1,Technology-Medical,angel,0,0,,
Jean-Michel Besnier,1933,cheese,new,Europe,2.7,Consumer,angel,0,0,,
Jeff Bezos,1995, technology, new,North America,32,"Retail, Restaurant",angel,0,0,,
Jeff Greene,0,real estate,,North America,2.5,Real Estate,angel,0,0,,
Jeff Rothschild,2004,internet company,new,North America,1.2,Technology-Computer,angel,0,0,,
Jeff Sutton,1994,real estate,new,North America,2.7,Real Estate,angel,0,0,,
Jeffery Hildebrand,1989,oil,new,North America,5.5,Energy,angel,0,0,,
Jeffrey Lorberbaum,1875,flooring,aquired,North America,1.7,Consumer,angel,0,0,,
Jeffrey Skoll,1995,e-commerce,new,North America,3.8,Technology-Computer,angel,0,0,,
Jennifer Pritzker,1957,hotels,aquired,North America,1.8,Real Estate,angel,0,0,,
"Jeremy Jacobs, Sr.",1915,hospitality and food service,new,North America,3.1,Consumer,angel,0,0,,
Jeronimo Arango,1958,supermarkets,new,Latin America,4.2,"Retail, Restaurant",angel,0,0,,
Jerry Jones,1970,oil and gas,new,North America,3,Other,angel,0,0,,
Jerry Speyer,1978,real estate,new,North America,3.6,Real Estate,angel,0,0,,
Jerry Yang,1994,software,new,North America,2.1,Technology-Computer,angel,0,0,,
Jia Yueting,2000,entertainment,new,East Asia,2.3,Media,angel,0,0,,
Jiang Bin,2001,electronic componants,new,East Asia,3.7,Technology-Computer,angel,0,0,,
Jiang Rensheng,2001,pharmaceuticals,new,East Asia,2.2,Technology-Medical,angel,0,0,,
Jiang Wei,2005,pharmaceuticals,new,East Asia,1.1,Technology-Medical,angel,0,0,,
Jiang Zhaobai,1997,real estate,new,East Asia,1.3,Real Estate,angel,0,0,,
Jim Breyer,2006,venture capitalist,new,North America,2,Technology-Computer,angel,0,0,,
Jim Davis,1972,shoes,aquired,North America,3.4,Consumer,angel,0,0,,
"Jim Justice, II.",1971,coal,new,North America,1.6,Mining and metals,angel,0,0,,
Jim Kennedy,1898,media,aquired,North America,7.7,Media,angel,0,0,,
Jim Pattison,1961,autos,new,North America,7.3,Diversified financial,angel,0,0,,
Jim Thompson,1965,relocation services,new,North America,1,Other,angel,0,0,,
Jim Walton,1962,retail, new,North America,34.7,"Retail, Restaurant",angel,0,0,,
Jimmy Haslam,1981,truck stop,new,North America,1.5,"Retail, Restaurant",angel,0,0,,
Jitendra Virwani,1993,real estate,new,South Asia,1,Real Estate,angel,0,0,,
Joan Tisch,1946,retail,new,North America,2.8,Diversified financial,angel,0,0,,
Joao Alves de Queiroz Filho,2001,consumer goods,new,Latin America,1.4,Consumer,angel,0,0,,
Joao Moreira Salles,1926,banking,new,Latin America,2.9,Money Management,angel,0,0,,
Joao Roberto Marinho,1925,media,new,Latin America,9.1,Media,angel,0,0,,
"Joe Jamail, Jr.",1987,lawsuits,,North America,1.6,Other,angel,0,0,,
Joe Lewis,1975,currency trading,new,Europe,5,Diversified financial,angel,0,0,,
Joe Mansueto,1984,media,new,North America,2.2,Money Management,angel,0,0,,
Johan Johannson,1866,groceries,new,Europe,2.7,"Retail, Restaurant",angel,0,0,,
Johann Graf,1980,gaming,new,Europe,7.2,"Retail, Restaurant",angel,0,0,,
Johann Rupert,1940,tobacco/luxury brands,new,Sub-Saharan Africa,7.6,Consumer,angel,0,0,,
Johanna Quandt,1916,cars,new,Europe,12.8,Consumer,angel,0,0,,
John A. Sobrato,1979,real estate,new,North America,4.5,Real Estate,angel,0,0,,
John Arnold,2003,hedge funds,new,North America,2.9,Hedge funds,angel,0,0,,
John Arrillaga,1960,real estate,new,North America,1.9,Real Estate,angel,0,0,,
John Brown,1941,medical supplies,new,North America,1.8,Technology-Medical,angel,0,0,,
John Catsimatidis,1971,groceries,new,North America,3,Energy,angel,0,0,,
John Caudwell,1986,cell phones,new,Europe,2.8,Consumer,angel,0,0,,
John de Mol,1994,media,new,Europe,2.2,Media,angel,0,0,,
John Doerr,1972,venture capitalist,new,North America,3.4,Venture Capital,angel,0,0,,
"John Dorrance, III.",1869,soup,aquired,Europe,2.5,Consumer,angel,0,0,,
John Edson,1955,boats,new,North America,1.2,Consumer,angel,0,0,,
John Farber,1950,chemicals,new,North America,2,Non-consumer industrial,angel,0,0,,
John Fisher,1969,clothing ,new,North America,2.9,Consumer,angel,0,0,,
John Fredriksen,1985,oil tankers,aquired,Europe,13.6,Other,angel,0,0,,
John Gandel,1939,real estate,aquired,North America,3.4,Real Estate,angel,0,0,,
"John Gokongwei, Jr.",1954,"manufacturing, real estate, aviation",new,East Asia,3.9,Diversified financial,angel,0,0,,
John Henry,1981,asset management,new,North America,1.5,Consumer,angel,0,0,,
John Kapoor,1990,pharmaceuticals,new,North America,1.9,Technology-Medical,angel,0,0,,
John Malone,1968,telecommunications,merger,North America,7.5,Media,angel,0,0,,
"John Menard, Jr.",1972,hardware stores,new,North America,7.5,"Retail, Restaurant",angel,0,0,,
John Morgridge,1984,software,new,North America,1,Technology-Computer,angel,0,0,,
John Morris,1972,sports retail,new,North America,4,"Retail, Restaurant",angel,0,0,,
John Paul DeJoria,1980,hair care products/tequila,new,North America,3,Consumer,angel,0,0,,
John Pritzker,1957,hotels,aquired,North America,2,Real Estate,angel,0,0,,
John Sall,1976,software,new,North America,3.7,Technology-Computer,angel,0,0,,
John Tu,1987,technology,new,North America,4.5,Technology-Computer,angel,0,0,,
John Van Lieshout,0,real estate,new,North America,1,Real Estate,angel,0,0,,
John Whittaker,1971,real estate,aquired,Europe,2.3,Real Estate,angel,0,0,,
Johnelle Hunt,1961,trucking ,new,North America,2.1,Other,angel,0,0,,
Jon Huntsman,1982,chemicals,new,North America,1.1,Non-consumer industrial,angel,0,0,,
Jon Stryker,1941,medical supplies,new,North America,1.6,Technology-Medical,angel,0,0,,
Jonathan Gray,1985,private equity,new,North America,1.4,Other,angel,0,0,,
Jonathan Harmsworth,1894,media,new,Europe,1.9,Media,angel,0,0,,
Jonathan Nelson,1989,private equity,new,North America,1.8,Private equity/leveraged buyout,angel,0,0,,
Jonathan Oringer,2003,internet company,new,North America,1.4,Media,angel,0,0,,
Joop van den Ende,1993,media,new,Europe,1.7,Media,angel,0,0,,
Jorge Moll Filho,1977,hospitals,new,Latin America,1.3,Real Estate,angel,0,0,,
Jorge Paulo Lemann,1999,investment banking/beer,aquired,Latin America,19.7,Consumer,angel,0,0,,
Jorge Perez,1979,real estate,new,North America,2,Real Estate,angel,0,0,,
Jorge Rodriguez Rodriguez,1967,milk,new,Latin America,1,Consumer,angel,0,0,,
Jorn Rausing,1951,food packaging,new,Europe,5.7,Other,angel,0,0,,
Jose and Francisco Jose Calderon Rojas,1890,retail,new,Latin America,2,Consumer,angel,0,0,,
Jose Ermirio de Moraes Neto,1919,"metals, paper, cement",new,Latin America,1.1,Diversified financial,angel,0,0,,
Jose Isaac Peres,1975,shopping centers,new,Latin America,1.3,Real Estate,angel,0,0,,
Jose Llado Fernandez-Urrutia,1960,construction,new,Europe,1.5,Constrution,angel,0,0,,
Jose Maria Aristrain,1902,steel,new,Europe,1.1,Non-consumer industrial,angel,0,0,,
Jose Mendes Nogueira,1966,iron ore,new,Latin America,1.1,Mining and metals,angel,0,0,,
Jose Roberto Ermirio de Moraes,1919,"metals, paper, cement",new,Latin America,1.1,Diversified financial,angel,0,0,,
Jose Roberto Marinho,1925,media,new,Latin America,9.1,Media,angel,0,0,,
Joseph Grendys,1985,meat processing,aquired,North America,1.1,Consumer,angel,0,0,,
Joseph Lau,1978,real estate,new,East Asia,8.4,Real Estate,angel,0,0,,
Joseph Safra,1955,banking,new,Latin America,16,Money Management,angel,0,0,,
Joseph Tsai,1999,e-commerce,new,North America,3.7,Technology-Computer,angel,0,0,,
Josephine Louis,1886,cleaning supplies,new,North America,2.9,Consumer,angel,0,0,,
Joshua Harris,1990,private equity,new,North America,2.9,Private equity/leveraged buyout,angel,0,0,,
Joyce Raley Teel,1935,groceries,new,North America,1.6,"Retail, Restaurant",angel,0,0,,
Juan Abello,1938,pharmaceuticals,new,Europe,2.4,Diversified financial,angel,0,0,,
Juan Carlos Escotet,1992,banking,new,Latin America,1.5,Money Management,angel,0,0,,
Juan Fernando Belmont Anderson,1967,cosmetics,new,Latin America,1.1,Consumer,angel,0,0,,
Juan Maria Riberas Mera,1958,steel,new,Europe,2.5,Non-consumer industrial,angel,0,0,,
Juan-Miguel Villar Mir,1911,construction,aquired,Europe,2.5,Constrution,angel,0,0,,
Jude Reyes,1976,beer and food distribution,aquired,North America,3.6,"Retail, Restaurant",angel,0,0,,
Judy Faulkner,1979,healthcare management,new,North America,3.1,Technology-Medical,angel,0,0,,
Judy Love,1964,truck stops,new,North America,1.8,"Retail, Restaurant",angel,0,0,,
Julia Oetker,1891,retail,new,Europe,1.7,Consumer,angel,0,0,,
"Julian Robertson, Jr.",1980,hedge funds,new,North America,3.2,Hedge funds,angel,0,0,,
Julio Bozano,1960,banking,new,Latin America,1.6,Money Management,angel,0,0,,
Julio Ponce,1968,mining,privatization,Latin America,2.3,Consumer,angel,0,0,,
K Dinesh,1981,software,new,South Asia,1.1,Technology-Computer,angel,0,0,,
K. Rai Sahi,1975,real estate,new,North America,1.1,Real Estate,angel,0,0,,
Kagemasa Kozuki,1969,toys,new,East Asia,1.4,"Retail, Restaurant",angel,0,0,,
Kalanithi Maran,1993,media,new,South Asia,2.2,Media,angel,0,0,,
Karel Komarek,1995,oil and gas,new,Europe,1.6,Energy,angel,0,0,,
Karen Pritzker,1957,hotels,aquired,North America,3.7,Real Estate,angel,0,0,,
Karl Albrecht,1914,groceries,new,Europe,25,"Retail, Restaurant",angel,0,0,,
Karl Wlaschek,1953,groceries,new,Europe,4.8,"Retail, Restaurant",angel,0,0,,
Karl-Heinz Kipp,1965,retail,new,Europe,5.2,"Retail, Restaurant",angel,0,0,,
Katsumi Tada,1974,real estate,new,East Asia,1.7,Real Estate,angel,0,0,,
Kavitark Ram Shriram,1998,venture capitalist,new,North America,1.9,Venture Capital,angel,0,0,,
Kazuo Okada,1973,casinos,new,East Asia,1.4,Real Estate,angel,0,0,,
Lachhman Das Mittal,1969,tractors,new,South Asia,1.1,Consumer,angel,0,0,,
Ke Xiping,1994,"mining, investments",new,East Asia,1.1,Diversified financial,angel,0,0,,
Keeree Kanjanapas,1992,mass transit,new,East Asia,1.4,Real Estate,angel,0,0,,
Keiichiro Takahara,1961,diapers,new,East Asia,3.5,Consumer,angel,0,0,,
Kelcy Warren,1994,gas and propane,new,North America,4.4,Non-consumer industrial,angel,0,0,,
Ken Fisher,1979,money management,new,North America,2.4,Money Management,angel,0,0,,
Ken Griffin,1990,hedge funds,new,North America,5.2,Hedge funds,angel,0,0,,
Kenneth Feld,1967,entertainment,aquired,North America,1.8,Media,angel,0,0,,
Kenneth Langone,1979,home improvement retail,new,North America,2.3,Diversified financial,angel,0,0,,
Kenneth Tuchman,1982,software,new,North America,1,"Retail, Restaurant",angel,0,0,,
Kenny Troutt,1988,telecomm,new,North America,1.3,Media,angel,0,0,,
Kerr Neilson,1994,asset management,new,North America,3,Diversified financial,angel,0,0,,
Kerry Stokes,1958,media,aquired,North America,1.7,Media,angel,0,0,,
Kim Jung-Ju,1994,online gaming,new,East Asia,1.3,Technology-Computer,angel,0,0,,
Kim Taek-Jin,1997,online gaming,new,East Asia,1.1,,angel,0,0,,
Kirk Kerkorian,1924,real estate,aquired,North America,4.5,Real Estate,angel,0,0,,
Kirsten Rausing,1951,food packaging,new,Europe,5.1,Consumer,angel,0,0,,
Kjeld Kirk Kristiansen,1949,toys,new,Europe,10.2,Consumer,angel,0,0,,
Kjell Inge Rokke,1841,oil,aquired,Europe,2.5,Other,angel,0,0,,
Klaus Tschira,1972,software,new,Europe,7.5,Technology-Computer,angel,0,0,,
Klaus-Michael Kuehne,1890,transportation,new,Europe,10.4,Other,angel,0,0,,
Koh Wee Meng,1993,real estate,new,East Asia,1.2,Real Estate,angel,0,0,,
Konstantin Grigorishin,1990,power engineering,new,Europe,1.3,Energy,angel,0,0,,
Konstantin Nikolaev,1996,infrastructure,new,Europe,1.2,Real Estate,angel,0,0,,
Koo Bon-Moo,1947,electonics,new,East Asia,1.5,Technology-Computer,angel,0,0,,
Koo Bon-Neung,1947,electonics,new,East Asia,1.1,Technology-Computer,angel,0,0,,
Koos Bekker,1985,media,new,Sub-Saharan Africa,1.3,Media,angel,0,0,,
Kostyantin Zhevago,1960,iron,privatization,Europe,1.2,Mining and metals,angel,0,0,,
Krit Ratanarak,1945,"banking, media",new,East Asia,2.8,Media,angel,0,0,,
Kumar Birla,1857,cement,new,South Asia,7,Mining and metals,angel,0,0,,
Kunio Busujima,1950,pachinko gaming machines,new,East Asia,4.9,"Retail, Restaurant",angel,0,0,,
Kuok Khoon Hong,1991,palm oil,new,East Asia,2.3,Mining and metals,angel,0,0,,
Kushal Pal Singh,1946,real estate,new,South Asia,3,Real Estate,angel,0,0,,
Kutayba Alghanim,1932,diversified investments,new,Middle East/North Africa,1.3,Diversified financial,angel,0,0,,
Kwee brothers,1961,real estate,new,East Asia,5.2,Real Estate,angel,0,0,,
Kwek Leng Beng,1948,banking,new,East Asia,2.4,Diversified financial,angel,0,0,,
Lakshmi Mittal,1989,steel,new,South Asia,16.7,Non-consumer industrial,angel,0,0,,
Lam Fong Ngo,1997,casinos,new,East Asia,1,Real Estate,angel,0,0,,
Lam Kong,1995,pharmaceuticals,new,East Asia,1.5,Technology-Medical,angel,0,0,,
Lang Walker,1972,real estate,new,North America,1.2,Real Estate,angel,0,0,,
Larry Ellison,1977, software, new,North America,48,Technology-Computer,angel,0,0,,
Larry Page,1998, technology, new,North America,32.3,Technology-Computer,angel,0,0,,
Larry Robbins,2001,hedge funds,new,North America,1.4,Hedge funds,angel,0,0,,
Lars Larsen,1979,retail,new,Europe,4,"Retail, Restaurant",angel,0,0,,
Laurence Graff,1960,diamonds,new,Europe,4.8,Consumer,angel,0,0,,
Laurene Powell Jobs,1976,technology,new,North America,14,Technology-Computer,angel,0,0,,
Laurent Burelle,1957,plastic,new,Europe,1.1,Consumer,angel,0,0,,
Law Kar Po,1961,real estate,new,East Asia,2.7,Real Estate,angel,0,0,,
Lawrence Ho,1962,real estate,new,East Asia,3,Real Estate,angel,0,0,,
Leandro Rizzuto,1959,hair care products ,new,North America,2.8,Consumer,angel,0,0,,
Lee Bass,1919,oil,new,North America,2.1,Energy,angel,0,0,,
Lee Boo-Jin,1938,electronics,new,East Asia,1.3,Technology-Computer,angel,0,0,,
Lee Hae-Jin,1999,internet company,new,East Asia,1.2,Technology-Computer,angel,0,0,,
Lee Hwa-Kyung,1956,snack foods,new,East Asia,1.4,Media,angel,0,0,,
Lee Jay-Hyun,1953,"food, entertainment",subsidiary,East Asia,1.6,Media,angel,0,0,,
Lee Joong-Keun,1983,construction,new,East Asia,1.7,Technology-Computer,angel,0,0,,
Lee Kun-Hee,1938,electronics,new,East Asia,11.1,Technology-Computer,angel,0,0,,
Lee Man Tat,1888,food,new,East Asia,1.3,Consumer,angel,0,0,,
Lee Myung-Hee,1930,electronics,subsidiary,East Asia,1.7,"Retail, Restaurant",angel,0,0,,
Lee Seo-Hyun,1938,electronics,new,East Asia,1.2,Technology-Computer,angel,0,0,,
Lee Shau Kee,1976,real estate,new,East Asia,19.6,Diversified financial,angel,0,0,,
Lee Shin Cheng,1969,palm oil/real estate,new,East Asia,4.3,Mining and metals,angel,0,0,,
Lei Jufang,1993,pharmaceuticals,new,East Asia,1.4,Technology-Medical,angel,0,0,,
Lei Jun,2010,technology,new,East Asia,4,Consumer,angel,0,0,,
Len Ainsworth,1953,gaming,new,North America,1.4,Consumer,angel,0,0,,
Len Blavatnik,1990,"aluminum, oil",new,North America,18.7,Diversified financial,angel,0,0,,
Len Buckeridge,1960,construction,new,North America,1.2,Constrution,angel,0,0,,
Leon Black,1990,private equity,new,North America,5.8,Private equity/leveraged buyout,angel,0,0,,
Leon Charney,1980,real estate,new,North America,1,Real Estate,angel,0,0,,
Leon G. Cooperman,1991,asset management,new,North America,3.5,Hedge funds,angel,0,0,,
Leonard Lauder,1946,makeup,new,North America,7.5,Consumer,angel,0,0,,
Leonard Schleifer,1988,pharmaceuticals,new,North America,1,Technology-Medical,angel,0,0,,
Leonard Stern,1926,"pet supplies, real estate",new,North America,4.2,Real Estate,angel,0,0,,
Leonardo Del Vecchio,1961,glasses,new,Europe,19.2,Consumer,angel,0,0,,
Leonid Fedun,1990,oil,new,Europe,6.5,Energy,angel,0,0,,
Leonid Simanovsky,1994,gas,new,Europe,1.2,Diversified financial,angel,0,0,,
Leslie Wexner,1963,clothing,new,North America,5.7,Consumer,angel,0,0,,
Leszek Czarnecki,1996,banking,new,Europe,2.4,Money Management,angel,0,0,,
Lev Kvetnoi,1937,airports,privatization,Europe,1.9,Constrution,angel,0,0,,
Lev Leviev,1934,diamonds,aquired,Middle East/North Africa,1.3,Mining and metals,angel,0,0,,
Li Denghai,1989,agriculture,new,East Asia,1,Consumer,angel,0,0,,
Li Hejun,1994,energy,new,East Asia,10.3,Energy,angel,0,0,,
Li Ka-shing,1950,real estate,new,East Asia,31,Diversified financial,angel,0,0,,
Li Li,1998,pharmaceuticals,new,East Asia,1.2,Technology-Medical,angel,0,0,,
Li Shufu,1986,automobiles,new,East Asia,1.9,Consumer,angel,0,0,,
