name,company_founded,industry,company_type,location,wealth_worth_in_billions,wealth_how_industry,type_of_investor,number_of_deals,portfolio_size,website,most_recent_deal
Alfredo Egydio Arruda Villela Filho,1966,banking,new,Latin America,1.2,Money Management,angel,0,0,,
Alfredo Harp Helu,1884,banking,aquired,Latin America,1.5,Money Management,angel,0,0,,
Ali Ibrahim Agaoglu,1981,construction,new,Middle East/North Africa,1.6,Constrution,angel,0,0,,
Alice Walton,1962,retail, new,North America,34.3,"Retail, Restaurant",angel,0,0,,
Alicia Koplowitz,1952,construction,aquired,Europe,2.1,Constrution,angel,0,0,,
Alijan Ibragimov,1994,metals,new,South Asia,1.7,Mining and metals,angel,0,0,,
Aliko Dangote,1981,"commodities (sugar, cement flour)",new,Sub-Saharan Africa,25,Constrution,angel,0,0,,
Alisher Usmanov,1999,metals,new,Europe,18.6,Non-consumer industrial,angel,0,0,,
Allan Slaight,1971,broadcasting,aquired,North America,1.3,Media,angel,0,0,,
Allan Wong,1976,electronics,new,East Asia,1.3,Technology-Computer,angel,0,0,,
Aloke Lohia,1988,polymers,new,East Asia,1.1,Non-consumer industrial,angel,0,0,,
Aloys Wobben,1984,wind energy,new,Europe,3.7,Energy,angel,0,0,,
Aloysio de Andrade Faria,1925,banking,new,Latin America,3.3,Money Management,angel,0,0,,
Alvaro Saieh Bendeck,1871,banking,new,Latin America,1.9,Money Management,angel,0,0,,
Amancio Ortega,1975,Fashion,new,Europe,64,"Retail, Restaurant",angel,0,0,,
Americo Amorim,1870,cork,new,Europe,5.3,Energy,angel,0,0,,
"Amos Hostetter, Jr.",1964,media,new,North America,3,Media,angel,0,0,,
An Kang,1992,pharmaceuticals,new,East Asia,1,Technology-Medical,angel,0,0,,
Ana Lucia de Mattos Barretto Villela,1966,banking,new,Latin America,1.1,Money Management,angel,0,0,,
Ana Maria Brescia Cafferata,1889,"mining, banking",new,Latin America,1.6,Mining and metals,angel,0,0,,
Ana Maria Marcondes Penido Sant'Anna,1945,toll roads,new,Latin America,1.6,Other,angel,0,0,,
Ananda Krishnan,1984,real estate,new,East Asia,11.3,Media,angel,0,0,,
Anas Sefrioui,1988,real estate,new,Middle East/North Africa,1.3,Real Estate,angel,0,0,,
Anatoly Lomakin,1992,fertilizers,privatization,Europe,1.4,Consumer,angel,0,0,,
Anatoly Sedykh,1999,pipes,new,Europe,1.1,Non-consumer industrial,angel,0,0,,
Anders Holch Povlsen,1975,fashion,new,Europe,5.3,"Retail, Restaurant",angel,0,0,,
Andre Esteves,2008,banking,new,Latin America,3.1,Money Management,angel,0,0,,
Andrea Della Valle,1920,leather,new,Europe,1.6,Consumer,angel,0,0,,
Andrea Reimann-Ciardelli,1923,consumer goods,aquired,North America,1,Consumer,angel,0,0,,
Andreas Halvorsen,1999,hedge funds,new,Europe,2.2,Hedge funds,angel,0,0,,
Andreas Struengmann,1986,pharmaceuticals,new,Europe,3.5,Technology-Medical,angel,0,0,,
Andreas von Bechtolsheim,1982,microchips,new,Europe,3.8,Technology-Computer,angel,0,0,,
Andrei Bokarev,2002,locomotive manufacturing,new,Europe,1.5,Energy,angel,0,0,,
Andrei Filatov,1996,infrastructure,new,Europe,1.2,Real Estate,angel,0,0,,
Andrei Guriev,1929,fertilizer,privatization,Europe,3.4,Consumer,angel,0,0,,
Andrei Klyamko,1995,steel,new,Europe,1.9,Non-consumer industrial,angel,0,0,,
