investor_id,name,location,type,most_recent_deal,number_of_deals,portfolio_size,city,state,country,website,industry,lat,lon
10,Longworth Venture Partners,Boston,vc,2018-12-31,0,0,Waltham,MA,USA,longworth.com,food & beverages,42.3756401,-71.2358004
16612,Apax Partners,New York,vc,2018-09-07,0,0,New York,NY,USA,apax.com,food & beverages,40.7127281,-74.0060152
1778,Chris Dixon,New York,angel,2015-07-14,0,0,New York,NY,USA,angel.co/cdixon,food & beverages,40.7127281,-74.0060152
5270,Chicago Growth Partners,Chicago,vc,2015-12-01,0,0,Chicago,IL,USA,cgp.com,food & beverages,41.8755616,-87.6244212
20846,Galvanize Ventures,Milwaukee,vc,2017-08-08,0,0,Denver,CO,USA,galvanize.com,food & beverages,39.7392364,-104.9848623
349,Chris Yeh,Bay Area,angel,2013-03-22,0,0,Palo Alto,CA,USA,angel.co/chrisyeh,food & beverages,37.4443293,-122.1598465
2858,Seraph Group,Atlanta,vc,2018-09-18,0,0,Atlanta,GA,USA,seraphgroup.net,food & beverages,33.7490987,-84.3901849
1956,Francisco Partners,Bay Area,vc,2020-08-25,0,0,San Francisco,CA,USA,franciscopartners.com,food & beverages,37.7790262,-122.4199061
1622,OMERS Ventures,Toronto,vc,2017-11-07,0,0,Toronto,CAN-ON,CAN,omersventures.com,food & beverages,43.6913544,-79.5006666
6862,Innovacorp,Halifax,vc,2018-02-07,0,0,Halifax,CAN-NS,CAN,innovacorp.ca,food & beverages,49.1810037,-0.3698915
2384,Saeed Amidi,Bay Area,angel,2015-11-22,0,0,Sunnyvale,CA,USA,angel.co/saeed-amidi,food & beverages,37.3688301,-122.0363496
3166,Prospect Venture Partners,Bay Area,vc,2016-09-27,0,0,Palo Alto,CA,USA,prospectventures.com,food & beverages,37.4443293,-122.1598465
1090,XG Ventures,Bay Area,vc,2018-12-21,0,0,Menlo Park,CA,USA,xg-ventures.com,food & beverages,37.4519671,-122.1779927
1937,Kamran Pourzanjani,Los Angeles,angel,2015-02-24,0,0,Los Angeles,CA,USA,angel.co/kamran-pourzanjani,food & beverages,34.0536909,-118.242766
5117,Hudson Bay Capital Management,New York,vc,2020-04-11,0,0,New York,NY,USA,hudsonbaycapital.com,food & beverages,40.7127281,-74.0060152
8539,Ben Lewis,Bay Area,angel,2013-12-11,0,0,San Francisco,CA,USA,angel.co/ben-lewis,food & beverages,37.7790262,-122.4199061
983,Valhalla Partners,Vienna,vc,2018-06-06,0,0,Vienna,VA,USA,valhallapartners.com,food & beverages,38.9013729,-77.2651762
5554,Lon Chow,Chicago,angel,2016-05-10,0,0,Chicago,IL,USA,angel.co/lonchow,food & beverages,41.8755616,-87.6244212
306,Tom Ryan,Los Angeles,angel,2016-02-03,0,0,Los Angeles,CA,USA,angel.co/thomasryan,food & beverages,34.0536909,-118.242766
7524,The Brandery,Cincinnati,accelerator,2015-08-01,0,0,Cincinnati,OH,USA,brandery.org,food & beverages,39.1014537,-84.5124602
8046,Amol Sarva,New York,angel,2016-01-16,0,0,New York,NY,USA,angel.co/amol,food & beverages,40.7127281,-74.0060152
5410,Expansion Venture Capital,New York,vc,2018-01-10,0,0,New York,NY,USA,expansionvc.com,food & beverages,40.7127281,-74.0060152
8135,Safa Rashtchy,Bay Area,angel,2014-07-01,0,0,Palo Alto,CA,USA,angel.co/safa-rashtchy,food & beverages,37.4443293,-122.1598465
1583,James Joaquin,Bay Area,angel,2014-09-17,0,0,San Francisco,CA,USA,angel.co/james-joaquin,food & beverages,37.7790262,-122.4199061
21933,Mosaic Capital Partners,Toronto,vc,2014-10-07,0,0,Toronto,CAN-ON,CAN,mosaicvp.com,food & beverages,43.6913544,-79.5006666
1881,DBL Investors,Bay Area,vc,2017-10-06,0,0,San Francisco,CA,USA,dblinvestors.com,food & beverages,37.7790262,-122.4199061
1812,IDEA Fund Partners,Raleigh,vc,2018-10-18,0,0,Durham,NC,USA,ideafundpartners.com,food & beverages,35.996653,-78.9018053
15912,Columbus Nova Technology Partners,Bay Area,vc,2017-07-12,0,0,Menlo Park,CA,USA,cntp.com,food & beverages,37.4519671,-122.1779927
286,Split Rock Partners,Eden Prarie,vc,2017-11-14,0,0,Eden Prarie,MN,USA,splitrock.com,food & beverages,44.887215,-93.474404
440,Oak Investment Partners,Norwalk,vc,2018-06-04,251,148,Norwalk,CT,USA,oakvc.com,food & beverages,41.1175966,-73.4078968
565,Russell Siegelman,Bay Area,angel,2017-02-08,0,0,Palo Alto,CA,USA,angel.co/russsiegelman,food & beverages,37.4443293,-122.1598465
5903,Victory Park Capital,Chicago,vc,2018-04-26,0,0,Chicago,IL,USA,victoryparkcapital.com,food & beverages,41.8755616,-87.6244212
825,Merus Capital,Bay Area,vc,2020-02-13,0,0,Palo Alto,CA,USA,meruscap.com,food & beverages,37.4443293,-122.1598465
3589,Asset Management Ventures (AMV),Bay Area,vc,2020-09-11,0,0,Palo Alto,CA,USA,assetman.com,food & beverages,37.4443293,-122.1598465
1545,Saints Capital,Bay Area,vc,2015-07-15,0,0,San Francisco,CA,USA,saintscapital.com,food & beverages,37.7790262,-122.4199061
9373,Lars Albright,Boston,angel,2015-08-25,0,0,Boston,MA,USA,angel.co/lars-albright,food & beverages,42.3602534,-71.0582912
3279,Rho Ventures,New York,vc,2020-08-04,0,0,New York,NY,USA,rho.com,food & beverages,40.7127281,-74.0060152
281,Hummer Winblad Venture Partners,Bay Area,vc,2018-12-31,0,0,San Francisco,CA,USA,humwin.com,food & beverages,37.7790262,-122.4199061
2649,Venture Investors,Cleveland,vc,2018-01-09,0,0,Madison,WI,USA,ventureinvestors.com,food & beverages,43.074761,-89.3837613
3,Nexus Venture Partners,Bay Area,vc,2020-09-11,217,129,Menlo Park,CA,USA,nexusvp.com,food & beverages,37.4519671,-122.1779927
10772,Marco Marinucci,Bay Area,angel,2013-01-14,0,0,San Francisco,CA,USA,angel.co/marco-marinucci,food & beverages,37.7790262,-122.4199061
5631,Redmile Group,Bay Area,vc,2020-09-14,0,0,San Francisco,CA,USA,redmilegroup.com,food & beverages,37.7790262,-122.4199061
4676,ARC Financial,Calgary,vc,2011-05-04,0,0,Calgary,CAN-AB,CAN,arcfinancial.com,food & beverages,51.0161476,-114.1285572
