name,company_founded,industry,company_type,location,wealth_worth_in_billions,wealth_how_industry,type_of_investor,number_of_deals,portfolio_size,website,most_recent_deal
Arnon Milchan,1991,movies,new,Middle East/North Africa,4.7,Media,angel,,,,
Arthur Blank,1979,retail,new,North America,1.8,"Retail, Restaurant",angel,,,,
Arturo Moreno,1947,advertising,new,North America,1.3,Real Estate,angel,,,,
Asok Kumar Hiranandani,1947,real estate,new,East Asia,1.2,Real Estate,angel,,,,
August Oetker,1891,retail,new,Europe,1.7,Consumer,angel,,,,
August von Finck,1890,banking/insurance,new,Europe,8.3,Diversified financial,angel,,,,
Augusto & Giorgio Perfetti,1946,candy,new,Europe,7.2,Consumer,angel,,,,
"Austen Cargill, II.",1865,food processing/commodities,new,North America,3.2,Money Management,angel,,,,
Axel Oberwelland,1903,candy,new,Europe,3.7,Consumer,angel,,,,
Aydin Dogan,1961,media,new,Middle East/North Africa,1.1,Media,angel,,,,
Ayman Asfari,1981,petrochemicals,new,Europe,1.9,Energy,angel,,,,
Ayman Hariri,1978,construction,aquired,Middle East/North Africa,1.2,Constrution,angel,,,,
Azim Premji,1945,software,new,South Asia,15.3,Technology-Computer,angel,,,,
Aziz Akhannouch,1959,oil and gas,new,Middle East/North Africa,1.4,Energy,angel,,,,
B. Wayne Hughes,1972,self-storage,new,North America,2.1,"Retail, Restaurant",angel,,,,
B.R. Shetty,1975,hospitals,new,South Asia,1,Technology-Medical,angel,,,,
Baba Kalyani,1961,auto components,new,South Asia,1.3,Other,angel,,,,
Bachtiar Karim,1932,oleochemicals and palm oil,new,East Asia,2,Non-consumer industrial,angel,,,,
Bahaa Hariri,1978,construction,aquired,Middle East/North Africa,2.2,Real Estate,angel,,,,
Barbara Carlson Gage,1938,hospitality,new,North America,4.4,Real Estate,angel,,,,
Barry Diller,1986,media,new,North America,2.4,Media,angel,,,,
Barry Lam,1988,laptops,new,East Asia,4.1,Technology-Computer,angel,,,,
Bassam Alghanim,1932,diversified investments,new,Middle East/North Africa,1.3,Diversified financial,angel,,,,
Belmiro de Azevedo,1959,retail,aquired,Europe,2.5,"Retail, Restaurant",angel,,,,
Benedicta Chamberlain,1887,alcohol,new,Europe,1.2,Consumer,angel,,,,
Benjamin de Rothschild,1953,banking,new,Europe,2,Money Management,angel,,,,
